timestamp,cpu_percent,memory_mb,memory_percent,gpu_memory_mb,gpu_percent,temperature_c
1763309424.7209868,37.5,18033.8046875,27.5,0.0,0.0,0.0
1763309424.8301806,37.5,18036.74609375,27.5,0.0,0.0,0.0
1763309424.9369602,44.4,18034.55078125,27.5,0.0,0.0,0.0
1763309425.276048,100.0,18301.26171875,27.9,0.0,0.0,0.0
1763309425.5967488,100.0,18487.2578125,28.2,0.0,0.0,0.0
1763309425.7137403,0.0,18485.89453125,28.2,0.0,0.0,0.0
1763309426.007293,100.0,18698.77734375,28.5,0.0,0.0,0.0
1763309426.1635077,100.0,18711.609375,28.6,0.0,0.0,0.0
1763309426.4550867,100.0,18714.06640625,28.6,0.0,0.0,0.0
1763309426.877531,100.0,18918.95703125,28.9,0.0,0.0,0.0
1763309427.0011985,0.0,18990.7109375,29.0,0.0,0.0,0.0
1763309427.1503825,82.4,19068.87890625,29.1,0.0,0.0,0.0
1763309427.2674701,75.0,19139.4921875,29.2,0.0,0.0,0.0
1763309427.38327,88.9,19145.0625,29.2,0.0,0.0,0.0
1763309427.5018048,100.0,19145.0078125,29.2,0.0,0.0,0.0
1763309427.63238,100.0,19144.5,29.2,0.0,0.0,0.0
1763309427.7488797,100.0,19144.2734375,29.2,0.0,0.0,0.0
1763309427.8718,100.0,19142.99609375,29.2,0.0,0.0,0.0
1763309427.9880495,75.0,19143.6328125,29.2,0.0,0.0,0.0
1763309428.102218,50.0,19144.109375,29.2,0.0,0.0,0.0
1763309428.21727,100.0,19144.68359375,29.2,0.0,0.0,0.0
1763309428.3344643,37.5,19145.4921875,29.2,0.0,0.0,0.0
1763309428.4517243,88.9,19148.5703125,29.2,0.0,0.0,0.0
1763309428.5686405,50.0,19151.84765625,29.2,0.0,0.0,0.0
1763309428.6855896,0.0,19151.734375,29.2,0.0,0.0,0.0
1763309428.8019707,62.5,19150.98046875,29.2,0.0,0.0,0.0
1763309428.9212031,0.0,19149.37109375,29.2,0.0,0.0,0.0
1763309429.189471,100.0,19146.9453125,29.2,0.0,0.0,0.0
1763309429.3063133,100.0,18770.71875,28.7,0.0,0.0,0.0
1763309429.482359,100.0,18715.80078125,28.6,0.0,0.0,0.0
1763309429.664861,100.0,18905.5546875,28.9,0.0,0.0,0.0
1763309429.867908,100.0,18933.9921875,28.9,0.0,0.0,0.0
1763309430.06501,100.0,18934.37109375,28.9,0.0,0.0,0.0
1763309430.2647345,100.0,18934.13671875,28.9,0.0,0.0,0.0
1763309430.4802911,100.0,19134.40234375,29.2,0.0,0.0,0.0
1763309430.7908056,100.0,19131.171875,29.2,0.0,0.0,0.0
1763309431.0670245,100.0,18713.23828125,28.6,0.0,0.0,0.0
1763309431.1899316,100.0,18900.546875,28.9,0.0,0.0,0.0
1763309431.410825,100.0,18932.26171875,28.9,0.0,0.0,0.0
1763309431.6574798,100.0,18933.6953125,28.9,0.0,0.0,0.0
1763309431.9872353,100.0,19150.25390625,29.2,0.0,0.0,0.0
1763309432.1050456,100.0,19226.8984375,29.4,0.0,0.0,0.0
1763309432.220905,75.0,19267.98046875,29.4,0.0,0.0,0.0
1763309432.350275,37.5,19329.46484375,29.5,0.0,0.0,0.0
1763309432.4715936,50.0,19383.7109375,29.6,0.0,0.0,0.0
1763309432.5898478,0.0,19382.83203125,29.6,0.0,0.0,0.0
1763309432.7084281,55.6,19382.640625,29.6,0.0,0.0,0.0
1763309432.8303752,0.0,19382.61328125,29.6,0.0,0.0,0.0
1763309432.9462156,37.5,19378.18359375,29.6,0.0,0.0,0.0
1763309433.0595338,0.0,19375.8984375,29.6,0.0,0.0,0.0
1763309433.1764963,62.5,19375.78125,29.6,0.0,0.0,0.0
1763309433.2932553,0.0,19375.671875,29.6,0.0,0.0,0.0
1763309433.409383,80.0,19375.39453125,29.6,0.0,0.0,0.0
1763309433.5248392,80.0,19381.71875,29.6,0.0,0.0,0.0
1763309433.6413,55.6,19380.59375,29.6,0.0,0.0,0.0
1763309433.7571576,75.0,19380.546875,29.6,0.0,0.0,0.0
1763309433.8735492,0.0,19378.3671875,29.6,0.0,0.0,0.0
1763309434.1248748,100.0,19377.5703125,29.6,0.0,0.0,0.0
1763309434.3226569,100.0,19377.7734375,29.6,0.0,0.0,0.0
1763309434.485641,100.0,19377.53515625,29.6,0.0,0.0,0.0
1763309434.7128773,100.0,19375.9140625,29.6,0.0,0.0,0.0
1763309434.9612527,100.0,19373.2890625,29.6,0.0,0.0,0.0
1763309435.240997,100.0,19372.35546875,29.6,0.0,0.0,0.0
1763309435.3579264,100.0,18718.58984375,28.6,0.0,0.0,0.0
1763309435.6350687,100.0,18942.4765625,28.9,0.0,0.0,0.0
1763309435.9411032,100.0,18943.890625,28.9,0.0,0.0,0.0
